fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2019-2020,July,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,15668,192.163312693498,15,4,0,5,17,222,12920,0,0,0,0,14.69846,39.52596,839,885,4958,7505,0,13589,17931,227,24.8275,8194,34,30.71,56.01,228.06,NA
2019-2020,Aug,01,ANDAMAN AND NICOBAR,0102,NICOBARS,12029,0,5,0,0,1,10,100,81,0,0,6,2121,0,0,14,14,1285,2245,0,6031,9926,101,0,63,6,100,0,0,NA
2019-2020,Aug,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,74168,195.217946071717,24,2,3.530086,47,1,481,53293,0,0,0,0,48.03256,155.600146,2150,2514,9345,17168,4,19705,32352,528,104.0375,32551,66,59.31,58.73,195.1,NA
2019-2020,Dec,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,133502,110.387546432811,36,7,15.536476,91,1,523,130565,0,0,0,0,72.70508,232.369056,3586,4346,9379,17075,103,19633,32052,614,144.1275,79062,66,57.26,54.41,454.83,NA
2019-2020,May,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,29667,242.064556509299,16,1,0.499,23,4,351,22368,0,0,0,0,16.93235,71.57635,1325,1495,9322,17162,0,19641,32310,374,54.145,14288,55,52.58,53.84,118.57,NA
2019-2020,Feb,01,ANDAMAN AND NICOBAR,0102,NICOBARS,34119,0,21,0,0,3,10,99,858,0,0,783,2122,0,0,40,41,1286,2246,0,6044,9938,102,0,263,6,9.14,0,0,NA
2019-2020,March,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,46697,187.485292041229,24,9,0,21,7,218,42494,0,0,0,0,36.39074,116.06074,1702,1838,4984,7473,3,13247,17422,239,79.67,25140,35,59.2,69.22,324.32,NA
2019-2020,March,01,ANDAMAN AND NICOBAR,0102,NICOBARS,42301,0,21,0,0,3,10,99,858,0,0,783,2122,0,0,40,41,1286,2246,0,6044,9938,102,0,263,6,9.14,0,0,NA
2019-2020,June,02,ANDHRA PRADESH,0202,VIZIANAGARAM,14942863,206.629804310775,49,10470,134.52597,3603,29,68024,17390840,1763733,108150,2082266,134277,895.16729,36964.35192,352926,561121,403053,964673,12153,519994,1185219,71627,35934.65866,11144336,56,95.52,95.05,100.9,NA
2019-2020,June,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,12105051,189.549346265467,40,4566,231.7507308,11877,22,134314,12048025,547594,48041,5292049,362084,777.99533,23846.6986862,301044,490690,376333,843719,7917,497377,1080628,146191,22836.9526254,7094233,72,77.1,78.16,102.97,NA
2019-2020,June,02,ANDHRA PRADESH,0205,WEST GODAVARI,8163215,188.22309645952,30,3991,271.72672,11705,5,87005,8295739,3011961,307892,726308,61286,607.1665,16493.39004,272944,417713,417938,880372,2414,751152,1486091,98710,15614.49682,4607210,46,63.63,70.89,103.41,NA
2019-2020,June,02,ANDHRA PRADESH,0208,PRAKASAM,15075634,199.139580332275,37,5761,79.55201,5587,3,77764,14856563,3987746,320950,396942,40251,912.75953,30577.60875,392878,636389,506845,1074654,7561,768096,1488752,83351,29585.29721,8809429,51,82.95,85.59,102.77,NA
2019-2020,June,02,ANDHRA PRADESH,0210,CHITTOOR,8510696,194.643467633434,30,3239,63.55645,3661,28,110607,4867631,1407682,241729,221178,35298,804.12322,10342.20544,158055,235430,372423,850818,2159,692319,1480420,114268,9474.52577,2956344,74,73.09,80.96,102.56,NA
2019-2020,April,02,ANDHRA PRADESH,0201,SRIKAKULAM,5767881,140.52380234038,14,7712,1.17,1466,87,73760,4739744,469133,107445,474331,95426,316.61415,6978.25264,320009,452663,445780,1025292,8,589453,1295911,75226,6660.46849,3217729,67,93.05,90.8,101.01,NA
2019-2020,April,02,ANDHRA PRADESH,0202,VIZIANAGARAM,4497416,152.886300066532,16,9405,0,1203,33,65539,5242624,517893,109864,589288,144492,274.03956,8289.29342,319645,478646,403711,984783,3,520326,1207337,66742,8015.25386,3421408,56,95.03,94.3,100.74,NA
2019-2020,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,3326316,126.777772764254,14,3552,0.03,2731,24,128668,3216633,152585,48054,1323304,391719,315.46363,4393.4693054,226097,342215,375745,874129,11,496530,1111907,131399,4077.9756754,1943459,71,57.71,56.37,103.17,NA
2019-2020,April,02,ANDHRA PRADESH,0210,CHITTOOR,2523276,130.195735783043,13,2142,0,326,44,107640,1407949,389602,242198,61864,35352,294.36431,2127.45387,106003,149986,371990,852562,1,692099,1483792,107966,1833.08956,857843,74,70.29,74.36,103.33,NA
2019-2020,Feb,02,ANDHRA PRADESH,0204,EAST GODAVARI,13109238,207.147807630026,44,10129,10089.39056,51179,32,101147,17679703,5541638,317298,2983080,184925,3271.99127,49984.49899,394905,576160,516134,1069538,34530,865156,1664995,152326,36623.11716,9638544,46,60.07,62.61,102.2,NA
2019-2020,Feb,02,ANDHRA PRADESH,0205,WEST GODAVARI,10967667,199.806037583004,38,4383,5359.54319,49430,5,77527,11660590,4167763,309115,964825,61234,2037.09048,30695.1965078,304894,474586,421789,886506,12097,760412,1502235,126957,23298.5628378,6467163,50,56.28,54.54,105.39,NA
2019-2020,Feb,02,ANDHRA PRADESH,0212,ANANTAPUR,16622934,206.114364247266,54,7625,3971.84164,25352,69,77636,16971032,2941176,194103,794157,48747,3232.12789,42183.704243,309582,536870,418722,1023074,47644,861898,1934359,102988,34979.734713,9399506,67,75.82,77.21,103.64,NA
2019-2020,Jan,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,15716030,201.999980163381,52,4858,4490.9233908,38423,20,123976,16860736,785862,47649,7427940,351363,2578.72816,41128.3349262,319584,527913,376523,830596,33648,501523,1071230,162399,34058.6833754,9981860,72,74.74,75.4,103.95,NA
2019-2020,Jan,02,ANDHRA PRADESH,0213,KURNOOL,12670991,203.242598678008,37,4289,2230.1401,37711,5,79459,11534865,2686855,256030,470118,26453,2827.07306,28500.97254,304088,524333,428997,1022758,8650,843120,1788318,117170,23443.75938,6637859,53,68.22,70.26,107.87,NA
2019-2020,March,02,ANDHRA PRADESH,0202,VIZIANAGARAM,20619498,218.240401718004,70,11066,6212.83397,24465,27,69907,25805764,2793774,105728,3181233,128279,3036.75005,65568.18704,367470,600711,403562,942684,114911,524738,1166451,94372,56318.60302,16875187,52,75.89,75.93,101.42,NA
2019-2020,March,02,ANDHRA PRADESH,0205,WEST GODAVARI,11864480,205.752091000533,40,4453,10551.30432,53118,5,75257,12486740,4475213,309121,1030657,61225,2238.36994,38481.4029078,309856,483922,421830,886532,18626,761427,1504018,128375,25691.7286478,6927240,49,48.09,47.05,105.21,NA
2019-2020,Dec,02,ANDHRA PRADESH,0205,WEST GODAVARI,10133592,205.416277494111,35,4228,2193.06166,47158,5,71921,10564217,3761014,308980,873639,61223,1669.31866,25563.0016278,294897,456829,421524,886085,7879,758758,1499243,119079,21700.6213078,5857891,52,64.74,62.82,105.11,NA
2019-2020,Dec,02,ANDHRA PRADESH,0206,KRISHNA,7081300,204.910548451988,30,3730,1269.35803,41295,5,65659,6422203,2454294,287992,217644,27330,1524.73084,15953.86026,213014,347393,325473,739501,3029,645661,1376637,106954,13159.77139,3656453,37,49.01,61.4,105.91,NA
2019-2020,Dec,02,ANDHRA PRADESH,0208,PRAKASAM,20557393,209.334633476937,41,5926,2216.82845,26954,1,65714,16843524,4471246,320785,532638,40292,2498.68941,39974.84709,406392,662521,508058,1074430,14515,773612,1495497,92668,35259.32923,9999816,52,80.62,82.72,104.97,NA
2019-2020,Nov,02,ANDHRA PRADESH,0201,SRIKAKULAM,17534167,206.931685701606,47,9145,4359.41414,28980,80,74565,18091381,1836863,106608,1851813,93358,2398.03158,44194.24539,382560,580401,446416,1017185,15867,595398,1294801,103545,37436.79967,12113992,72,93.94,91.55,102.18,NA
2019-2020,Nov,02,ANDHRA PRADESH,0207,GUNTUR,8884083,203.346004468149,27,3500,1696.94495,33146,17,83974,7615682,2573877,300412,523181,61471,1655.61207,18838.74208,275077,456529,425671,908609,3039,819064,1616960,117120,15486.18506,4201453,34,37.56,52.56,106.17,NA
2019-2020,Nov,02,ANDHRA PRADESH,0212,ANANTAPUR,14388081,213.263501213674,49,6966,2217.38425,22253,69,70737,14044130,2439741,194050,636938,48721,2411.87419,34580.261793,285524,490914,418346,1022593,23055,859525,1930025,92990,29951.003353,7764244,71,77.38,78.65,103.89,NA
2019-2020,July,02,ANDHRA PRADESH,0206,KRISHNA,6285605,200.848468630702,27,3628,102.92072,5559,7,94895,5741920,2213539,287943,185519,27321,724.77526,12360.25437,205440,333537,324961,739054,1616,643422,1373421,100454,11532.55839,3267739,35,47.04,63.7,105.88,NA
2019-2020,July,02,ANDHRA PRADESH,0207,GUNTUR,8303900,198.864912433804,26,3413,67.0615,5872,19,104464,7012866,2409799,300296,441998,61470,895.17631,14908.36764,266737,442243,425003,907782,2082,816721,1613195,110336,13946.12983,3860079,31,35.13,53.43,105.6,NA
2019-2020,July,02,ANDHRA PRADESH,0208,PRAKASAM,17200524,206.511621876608,39,5801,79.55201,7751,3,75960,15718890,4217493,320983,427066,40258,1185.61022,33726.49691,397010,644462,507475,1075119,10043,770472,1492184,83711,32461.33468,9344870,51,83.66,86.11,104.22,NA
2019-2020,July,02,ANDHRA PRADESH,0211,Y.S.R,10518134,208.981042094673,44,3256,222.52003,6188,8,70292,8642305,1850996,152507,193001,16154,1061.09044,19344.38952,192750,294429,282893,621271,7971,569003,1156554,76480,18060.77905,5471641,66,81.13,86.09,106.86,NA
2019-2020,July,02,ANDHRA PRADESH,0212,ANANTAPUR,12206248,207.289988990448,44,6294,36.35755,8405,69,70445,11610827,2018076,193959,507050,48675,1266.43648,25370.87604,259147,440847,416983,1021725,11382,854816,1922811,78850,24068.08201,6449811,68,81.06,82.87,104.07,NA
2019-2020,Aug,02,ANDHRA PRADESH,0206,KRISHNA,6463876,204.139221670817,28,3637,102.92072,14830,7,86624,5833984,2246212,287940,188916,27321,836.25426,12848.62451,206700,335856,325032,739075,1765,643772,1373885,101454,11909.44953,3320748,36,47.28,63.91,105.94,NA
2019-2020,Aug,02,ANDHRA PRADESH,0210,CHITTOOR,11008882,206.790601945142,37,3658,63.55645,14254,18,110713,6703983,1964713,241683,299542,35317,1305.47801,15232.24126,179446,270401,373204,851110,6492,694572,1483147,124967,13863.2068,4096215,75,76.87,84.57,105.51,NA
2019-2020,Sep,02,ANDHRA PRADESH,0205,WEST GODAVARI,9143646,201.811808879426,33,4149,961.60377,30970,5,81398,9678937,3486132,308828,822006,61176,1183.67443,21678.51604,288504,445620,420976,885296,4928,756735,1495774,112368,19533.23784,5374559,52,66.71,69.46,105.17,NA
2019-2020,Sep,02,ANDHRA PRADESH,0210,CHITTOOR,11512822,204.463997070839,39,3862,812.28233,19367,17,111468,7568037,2206935,241695,330690,35344,1495.96588,17782.15916,190574,289176,373527,851329,10418,695441,1484214,130835,15473.91095,4616523,75,78.31,85.48,105.22,NA
2019-2020,Oct,02,ANDHRA PRADESH,0204,EAST GODAVARI,11408264,209.252909593524,38,9668,945.08125,36540,11,98630,14311707,4579660,317352,2264957,184991,1903.8003,32796.54486,376058,543675,515587,1069014,13236,859470,1655973,135170,29947.66331,7789852,48,63.35,67.8,102.29,NA
2019-2020,Oct,02,ANDHRA PRADESH,0211,Y.S.R,11517561,215.555083857101,48,3428,3699.36774,20789,4,66997,9822424,2112418,151964,225951,16057,1772.49373,26644.59576,202513,311272,283298,619074,13698,569697,1153619,87786,21172.73429,6229021,67,81.12,85.83,107.05,NA
2019-2020,Oct,02,ANDHRA PRADESH,0213,KURNOOL,11200623,201.873464306349,36,4164,687.17149,24586,5,85948,10964345,2576630,255978,386983,26444,1778.22504,24599.49962,296934,511018,428510,1022203,6895,838665,1780557,110534,22134.10309,6329037,54,70.46,74.01,107.03,NA
2019-2020,Jan,02,ANDHRA PRADESH,0202,VIZIANAGARAM,17206496,214.831477438112,56,10818,4129.96858,23325,27,65301,20460566,2226423,105764,2544099,128358,2611.9263,50697.63111,361391,582021,403550,942937,29775,523667,1165107,88626,43955.73623,13185173,53,92.57,92.18,101.55,NA
2019-2020,Jan,02,ANDHRA PRADESH,0204,EAST GODAVARI,12347119,209.491849394818,41,9974,7349.40299,48167,32,100392,16203214,5077507,317364,2742909,184959,2904.54809,44198.36375,387662,563513,516093,1069635,25144,863694,1662776,148559,33944.41267,8797038,47,62.7,65.53,102.33,NA
2019-2020,Jan,02,ANDHRA PRADESH,0211,Y.S.R,12468403,213.92765078721,50,3533,5177.57981,23939,4,71587,10646460,2293523,151954,255865,16001,2712.68617,30665.98775,209694,324163,283602,618832,19845,571333,1155208,95526,22775.72177,6737318,62,78.2,82.7,108.05,NA
2019-2020,May,02,ANDHRA PRADESH,0208,PRAKASAM,10690497,177.464458542733,30,5536,79.55201,3494,5,76243,11598413,3111266,321009,296013,40258,590.13886,21252.7517,375870,604508,506603,1074725,1684,766449,1486515,79737,20583.06083,6853348,51,80.12,83.08,102.49,NA
2019-2020,May,02,ANDHRA PRADESH,0209,NELLORE,3583821,191.881450359235,20,1901,72.65644,2967,20,57466,2748064,855623,243661,143517,56296,376.56549,5722.24699,133868,192033,320421,702342,81,618088,1258475,60433,5273.02506,1707319,51,63.49,62.78,104.07,NA
2019-2020,Feb,02,ANDHRA PRADESH,0201,SRIKAKULAM,19629650,198.086996756611,53,9507,7496.22301,31744,80,83372,21310737,2252830,106309,2191479,93181,3278.42416,52988.44608,394882,605277,446403,1014916,38842,599331,1297425,115116,42213.79891,14424907,66,86.67,84.78,101.98,NA
2019-2020,Feb,02,ANDHRA PRADESH,0206,KRISHNA,7639328,202.302354231778,31,3895,2864.02089,42973,5,71404,6965287,2672875,288118,240291,27366,1934.18559,18889.14606,222260,363243,325800,739983,4727,647563,1379642,114377,14090.93958,3963137,35,43.09,52.78,105.84,NA
2019-2020,Feb,02,ANDHRA PRADESH,0209,NELLORE,10826426,213.006511283969,35,2853,3139.84322,18443,11,59632,7386408,2371944,243531,454816,56350,2167.06354,21040.43675,208682,313423,322030,703110,7090,624001,1265441,78075,15733.52999,4515504,45,61.34,62.92,107.47,NA
2019-2020,Jan,02,ANDHRA PRADESH,0209,NELLORE,10275351,214.634216892401,34,2797,1187.38344,18040,11,58693,6978179,2231704,243534,421288,56352,1946.00928,18110.95257,203916,305286,322011,703105,5704,623620,1264834,76733,14977.55985,4272635,46,74.67,75.77,107.82,NA
2019-2020,July,02,ANDHRA PRADESH,0201,SRIKAKULAM,16954547,203.098737925299,45,8984,133.68096,14200,81,74652,17097007,1745464,106991,1688300,93576,1219.04914,36076.53554,376372,568522,446306,1020765,10744,592195,1294720,88852,34723.80544,11443908,69,95.25,94.15,102.27,NA
2019-2020,July,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,13301236,201.148001101578,44,4649,231.7507308,13639,22,136903,13547842,626957,47889,5831331,356122,1069.92996,28552.8940662,306048,500909,376497,836377,12800,498426,1073812,150542,27251.2133754,8018664,73,78.75,79.92,104.2,NA
2019-2020,July,02,ANDHRA PRADESH,0209,NELLORE,6857899,207.354203192904,29,2470,72.65644,4926,11,59362,5335206,1702005,243541,297850,56325,823.21397,11958.6443,178968,265140,321275,702675,1757,620628,1261094,64288,11062.77389,3292802,50,76.05,76.51,108.8,NA
2019-2020,Oct,02,ANDHRA PRADESH,0201,SRIKAKULAM,17410734,206.794410528154,46,9127,624.09375,28124,80,74903,17944343,1819808,106797,1786683,93397,2072.84976,39804.84184,382009,579221,446470,1018623,14665,594356,1295199,103027,37107.89833,12023796,72,94.31,92.1,102.2,NA
2019-2020,Oct,02,ANDHRA PRADESH,0202,VIZIANAGARAM,16387515,223.327836958702,52,10582,786.25792,19026,27,59661,18728163,1942142,105947,2271796,128829,1771.92191,44383.38116,356195,569163,403340,944618,18993,521745,1164569,78687,41825.20133,12003737,58,94.95,94.22,101.46,NA
2019-2020,Oct,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,14419903,206.119475890956,47,4726,1165.2692008,26699,20,130224,14825121,680333,47657,6459826,352448,1648.11102,33370.8419262,311969,512577,376441,831707,19596,499937,1071056,156923,30557.4617054,8752889,74,78.45,78.94,104.13,NA
2019-2020,Oct,02,ANDHRA PRADESH,0206,KRISHNA,6720268,203.256343254629,29,3668,828.87093,28200,5,75368,6134548,2345331,288036,202491,27326,1109.36262,14407.09149,210037,342177,325354,739470,2246,644659,1375223,103568,12468.85794,3489552,37,48.5,62.71,105.99,NA
2019-2020,Oct,02,ANDHRA PRADESH,0209,NELLORE,8805832,216.683858929202,32,2660,548.00177,15090,11,53073,6393981,2038769,243584,376093,56359,1189.77565,15592.50219,194281,289601,321935,703160,3918,622764,1263820,68163,13854.72477,3935626,50,76.78,77.2,108.29,NA
2019-2020,Sep,02,ANDHRA PRADESH,0201,SRIKAKULAM,17285539,206.493211756737,46,9109,624.09375,24048,80,77765,17798272,1807060,106881,1741225,93434,2036.78792,39413.10516,381263,577642,446447,1019550,13621,593482,1295186,101813,36752.22349,11929992,72,95.13,93.16,102.2,NA
2019-2020,Sep,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,14067892,205.298992820108,46,4715,1165.2692008,22443,20,133306,14466095,670093,47855,6237364,352701,1607.7459,32471.7624362,310628,509730,376521,832742,17581,499552,1071635,155749,29698.7473354,8556661,73,79.29,80.09,104.07,NA
2019-2020,Sep,02,ANDHRA PRADESH,0207,GUNTUR,8600670,202.118421636474,26,3463,652.39922,22013,17,92292,7301892,2490888,300411,477803,61480,1306.27937,16717.14745,271819,450816,425602,908597,2554,818242,1615638,114305,14758.46886,4023110,32,36.23,53.28,105.86,NA
2019-2020,Sep,02,ANDHRA PRADESH,0208,PRAKASAM,18649274,209.543273757805,40,5863,775.54297,20960,1,67743,16276146,4341163,320732,479322,40233,1819.09645,36700.20859,401601,653161,507735,1074184,12162,771983,1493270,88703,34105.56917,9677750,52,83.83,86.03,104.52,NA
2019-2020,Sep,02,ANDHRA PRADESH,0209,NELLORE,8305553,215.124814005682,32,2616,548.00177,11049,11,55861,6166183,1959677,243573,358536,56346,1132.2983,14945.28978,190586,283710,321807,703075,3436,622279,1263205,66910,13264.98971,3803251,51,77.61,77.91,108.45,NA
2019-2020,Sep,02,ANDHRA PRADESH,0211,Y.S.R,11265047,214.12144642655,47,3403,1236.66023,17722,4,69222,9573884,2054757,152220,218059,16125,1630.21131,23366.61044,200541,307772,283131,620223,12332,569463,1155422,86944,20499.7389,6074238,66,81.86,86.71,106.94,NA
2019-2020,Sep,02,ANDHRA PRADESH,0212,ANANTAPUR,13615240,211.472201661178,47,6706,680.40979,17964,69,73368,13137303,2282384,193897,584128,48681,1810.97729,30273.130973,275487,471359,417735,1021785,17868,857282,1926086,91332,27781.743893,7276574,70,82.46,83.97,103.93,NA
